id,species,site,corolla.width,spur.length,blade.length,blade.width,anther.exsertion,sepal.length,sepal.width,blade.cleft,red.mean1,green.mean1,red.mean2,green.mean2,comments,integer.sepal.color
MK_01,A. flavescens,Mt. Kobau,2.4,1.6,0.7,0.9,0.8,2.1,0.7,n,201.61,205.78,176.83,177.98,,
MK_02,A. flavescens,Mt. Kobau,2.3,1.5,0.6,0.9,0.6,2.3,0.7,n,197.82,194.83,203.45,201.98,,
MK_03,A. flavescens,Mt. Kobau,2,1.4,0.6,0.8,0.9,2.1,0.8,n,181.59,185.11,166.13,170.07,,
MK_04,A. flavescens,Mt. Kobau,1.9,1.4,0.6,0.9,0.5,1.6,0.8,n,196.26,194.73,191.32,187.04,,
MK_05,A. flavescens,Mt. Kobau,2.1,1.2,0.8,0.8,0.7,2.1,0.6,n,224.85,223.74,222.82,221.1,,
MK_06,A. flavescens,Mt. Kobau,1.9,1.5,0.7,0.9,0.6,1.9,0.9,n,162.14,167.57,147.86,147.47,,
MK_07,A. flavescens,Mt. Kobau,2.1,1.6,0.5,0.9,0.6,1.7,0.8,n,142.65,144.74,169.09,170.49,,
MK_08,A. flavescens,Mt. Kobau,1.9,1.5,0.5,0.9,0.8,2.2,0.8,n,149.73,124.19,148.2,116.75,,
MK_09,A. flavescens,Mt. Kobau,2.3,1.5,0.7,0.8,0.6,1.8,0.8,n,181.44,185.39,,,,
MK_10,A. flavescens,Mt. Kobau,1.6,1.8,0.7,0.7,0.5,2,0.7,n,193.24,190.62,144.96,145.88,,
MK_11,A. flavescens,Mt. Kobau,2,1.5,0.8,1,0.7,2,0.9,n,154.55,157.64,,,,
MK_12,A. flavescens,Mt. Kobau,2.2,1.2,0.6,0.8,0.6,1.9,0.8,n,196.34,198.69,,,,
MK_13,A. flavescens,Mt. Kobau,2.6,1.9,0.8,0.9,0.4,2.6,1.1,n,177.19,177.84,,,,
MK_14,A. flavescens,Mt. Kobau,1.8,1.2,0.6,0.5,0.7,1.7,0.7,n,143.36,144.58,,,,
MK_15,A. flavescens,Mt. Kobau,2,1.4,0.6,0.8,0.6,2,0.7,n,148.09,142.49,,,,
MK_16,A. flavescens,Mt. Kobau,2,1.5,0.8,0.8,0.5,2.1,0.8,n,122.96,122.72,,,,
MK_17,A. flavescens,Mt. Kobau,2.3,1.2,0.7,0.9,0.9,2,0.7,n,181.83,186.04,,,,
MK_18,A. flavescens,Mt. Kobau,1.9,1.5,0.6,0.9,0.6,2.4,0.8,n,164.72,162.86,,,,
Mk_19,A. flavescens,Mt. Kobau,2,1.6,0.6,0.9,0.5,1.8,0.8,n,191.84,190.6,,,,
MK_20,A. flavescens,Mt. Kobau,1.8,1.4,0.6,0.7,0.6,2.1,0.8,n,156.52,154.13,,,,
WG1_02,A. formosa,Clearwater,1.9,2.3,0.3,0.5,1.2,2.6,1.1,n,181.82,112.37,,,,
WG1_03,A. formosa,Clearwater,1.4,2,0.4,0.3,1.3,2,0.8,n,105.73,68.33,,,,
WG1_04,A. formosa,Clearwater,1.5,2,0.3,0.4,1.1,2,0.9,y,74,43.92,,,,
