ID,species,sex,bill.length,gorget.length,condition
B007808,rufous,m,15.3,17.5,prepared
B003196,rufous,m,15.7,18.8,prepared
B003194,rufous,m,15.7,15.6,prepared
B000451,rufous,m,16.4,18,prepared
B000203,rufous,m,17,15.4,prepared
B017805,rufous,m,16.4,15.3,prepared
B014206,rufous,m,16.3,14.9,prepared
B013641,rufous,m,17.1,20.3,prepared
B012426,rufous,m,15.3,18.5,prepared
B017801,rufous,m,16.8,15.7,prepared
B015664,rufous,m,15.7,16.5,prepared
B014043,anna's,f,17.8,16.8,prepared
B056942,anna's,f,18.2,12.4,prepared
B03203,anna's,m,16.7,14.5,prepared
B014791,anna's,m,17.6,12.5,prepared
B013683,anna's,m,15.2,16.2,prepared
wra13-3118,anna's,unknown,17.9,11.8,frozen
wra13-2863,anna's,m,18.4,14.7,frozen
wra17-582,anna's,m,18.7,12.6,frozen
wra17-1056,anna's,m,16.8,18.6,frozen
wra17-4409,anna's,m,17.5,12.5,frozen
B014430,calliope,m,13.1,12.6,prepared
B015414,calliope,m,15.1,12.1,prepared
B014961,calliope,m,15,13.9,prepared
B014430,calliope,m,14.3,11.1,prepared
B014643,calliope,m,13.4,12.6,prepared
B007812,calliope,m,15.4,13,prepared
B007811,calliope,m,14.6,14,prepared
B000202,calliope,m,13,10.5,prepared
B015660,calliope,f,15.9,12,prepared
B007810,calliope,f,15.4,13.4,prepared
